L18A,231702.2536,221.138085,6714248.869,,
L19A,231701.6878,221.067876,6714250.197,,
M18A,231703.1826,222.510482,6714251.349,,
M19A,231702.4835,222.6924,6714252.662,,
K23A,231695.8978,219.522513,6714253.108,,
I14A,231698.3133,215.505712,6714239.532,,
K19A,231699.1991,219.383652,6714248.583,,
J7A,231705.9032,217.686773,6714232.185,,
K7A,231707.9698,218.875173,6714233.161,,
L6A,231710.9795,220.556722,6714233.291,,
L7A,231710.508,220.85614,6714234.803,,
L8A,231709.6821,220.733247,6714235.93,,
M8A,231710.2344,221.819209,6714238.241,,
M12A,231707.6675,222.702678,6714243.6,,
M13A,231706.9105,222.129007,6714244.857,,
M14A,231706.089,222.733115,6714246.097,,
M15A,231705.6109,222.362204,6714247.404,,
L20A,231700.7946,221.06949,6714251.431,,
I15A,231697.5563,215.430654,6714240.861,,
point 298,231672.7782,209.992293,6714255.421,,
point 299,231671.799,208.746637,6714256.701,,
point 300,231675.2709,211.065177,6714253.871,,
point 301,231672.7405,209.599156,6714256.84,,
D22-A,231670.7974,208.294862,6714256.607,,
D21-A,231670.8909,208.823226,6714254.827,,
D20-A,231671.7615,208.567201,6714253.611,,
point 305,231674.1419,211.671916,6714259.161,,
point 306,231674.0193,211.586469,6714257.893,,
point 307,231674.2234,211.612267,6714256.236,,
E18-A,231676.7254,210.687878,6714247.558,,
D12-A,231678.6673,209.686649,6714240.891,,
E15-A,231679.7654,210.798038,6714243.04,,
E13-A,231682.5815,211.024107,6714240.598,,
H16-A,231686.1492,214.873907,6714246.759,,
H15-A,231687.4447,215.233819,6714245.112,,
H14-A,231688.4961,215.451881,6714243.596,,
point 316,231681.7558,215.150054,6714250.681,,
I7A,231702.9399,216.068331,6714230.438,,
J5A,231707.2456,217.808881,6714229.754,,
K5A,231709.5709,219.107894,6714230.978,,
L5A,231711.5198,220.248819,6714232.15,,
I20A,231694.1067,216.842713,6714246.636,,
I19A,231694.6667,216.722948,6714245.657,,
point 328,231687.6158,213.642294,6714241.15,,
point 329,231681.8687,211.895152,6714244.418,,
A9,231665.0777,204.979681,6714262.321,,
B8,231668.5948,206.686198,6714262.549,,
B7,231668.3345,206.758094,6714264.138,,
B8,231668.1968,206.837756,6714265.627,,
B9,231667.9723,206.990868,6714267.214,,
B10,231667.7623,207.015573,6714268.564,,
point 336,231669.8273,207.812271,6714263.438,,
point 337,231670.6811,208.564997,6714263.45,,
point 338,231670.3848,208.688371,6714264.969,,
point 339,231670.3413,209.016042,6714266.552,,
point 340,231669.2719,208.207975,6714266.397,,
point 341,231669.5636,207.908609,6714264.967,,
point 342,231672.513,210.201089,6714263.557,,
point 343,231673.6964,211.293458,6714263.839,,
point 344,231675.2495,213.015789,6714264.045,,
point 345,231676.3829,217.050794,6714264.47,,
point 346,231677.0171,217.120969,6714264.384,,
point 347,231676.6721,217.198913,6714266.07,,
point 348,231676.1189,215.210086,6714265.975,,
point 349,231675.1765,213.548492,6714265.766,,
point 350,231674.2135,211.86421,6714265.625,,
point 351,231673.5536,211.85375,6714265.502,,
point 352,231672.0683,209.728156,6714265.282,,
point 353,231671.8011,209.92791,6714266.781,,
point 354,231673.3889,211.879023,6714266.914,,
point 355,231674.1876,211.92997,6714266.849,,
point 356,231675.3053,215.499579,6714267.258,,
point 357,231676.092,215.544624,6714267.274,,
point 358,231676.6443,217.457542,6714267.264,,
point 359,231678.6904,219.35053,6714269.309,,
point 360,231676.538,217.656407,6714268.78,,
point 361,231675.9571,215.676249,6714268.539,,
point 362,231675.0836,214.108313,6714268.494,,
point 363,231673.9557,212.414439,6714268.326,,
point 364,231673.1262,211.221046,6714268.286,,
